
"Banco de México"

"Índices de Precios al Consumidor y UDIS"
"Principales índices mensuales"

"Fecha de consulta: 18/03/2026 02:49:47"

"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas."

"Título","IPC Por objeto del gasto Nacional, I n d i c e G e n e r a l"
"Periodo disponible","Ene 1969 - Feb 2026"
"Periodicidad","Mensual"
"Cifra","Indices"
"Unidad","Sin Unidad"
"Base","2Q Jul 2018"
"Aviso","Acorde con la Ley del Sistema Nacional de Información Estadística y Geográfica, publicada en el Diario Oficial de la Federación el 16 de abril de 2008, a partir del 15 de julio de 2011 el Instituto Nacional de Estadística y Geografía (INEGI) tiene la facultad exclusiva de elaborar y publicar los índices nacionales de precios.  En consideración a lo anterior, la información sobre la inflación referente a junio de 2011 fue la última publicada por el Banco de México. El INEGI comenzó la difusión de la información con los resultados correspondientes a la primera quincena de julio de 2011."
"Tipo de información","Índices"
"Fecha","SP1"
01/06/1990,8.542939000000
01/07/1990,8.698735000000
01/08/1990,8.846950000000
01/09/1990,8.973061000000
01/10/1990,9.102060000000
01/11/1990,9.343723000000
01/12/1990,9.638214000000
01/01/1991,9.883880000000
01/02/1991,10.056425000000
01/03/1991,10.199840000000
01/04/1991,10.306688000000
01/05/1991,10.407442000000
01/06/1991,10.516648000000
01/07/1991,10.609584000000
01/08/1991,10.683423000000
01/09/1991,10.789850000000
01/10/1991,10.915343000000
01/11/1991,11.186374000000
01/12/1991,11.449680000000
01/01/1992,11.657778000000
01/02/1992,11.795900000000
01/03/1992,11.915948000000
01/04/1992,12.022171000000
01/05/1992,12.101438000000
01/06/1992,12.183345000000
01/07/1992,12.260272000000
01/08/1992,12.335592000000
01/09/1992,12.442897000000
01/10/1992,12.532494000000
01/11/1992,12.636620000000
01/12/1992,12.816553000000
01/01/1993,12.977320000000
01/02/1993,13.083345000000
01/03/1993,13.159594000000
01/04/1993,13.235480000000
01/05/1993,13.311137000000
01/06/1993,13.385797000000
01/07/1993,13.450123000000
01/08/1993,13.522112000000
01/09/1993,13.622261000000
01/10/1993,13.677973000000
01/11/1993,13.738302000000
01/12/1993,13.843055000000
01/01/1994,13.950375000000
01/02/1994,14.022124000000
01/03/1994,14.094225000000
01/04/1994,14.163251000000
01/05/1994,14.231682000000
01/06/1994,14.302895000000
01/07/1994,14.366327000000
01/08/1994,14.433287000000
01/09/1994,14.535937000000
01/10/1994,14.612245000000
01/11/1994,14.690361000000
01/12/1994,14.819204000000
01/01/1995,15.376991000000
01/02/1995,16.028707000000
01/03/1995,16.973617000000
01/04/1995,18.326133000000
01/05/1995,19.092090000000
01/06/1995,19.698024000000
01/07/1995,20.099588000000
01/08/1995,20.432981000000
01/09/1995,20.855643000000
01/10/1995,21.284762000000
